seller_id,total_orders,avg_delivery_delay,avg_processing_days,late_delivery_rate,avg_order_value,total_revenue,avg_review_score,risk_index,risk_category
001cca7ae9ae17fb1caed9dfb1094831,193,-13.41,1.69,5.17,151.58,35166.91,3.96,19.70464904284412,Low Risk
002100f778ceb8431b7a1020ff7ab48f,50,-8.22,2.98,16.36,27.27,1499.6,4.04,36.56153144940748,Low Risk
004c9cd9d87a3c30c522c48c4fc07416,154,-12.18,0.91,7.6,140.0,23940.49,4.17,20.098450319051963,Low Risk
00ee68308b45bc5e2660cd833c3f81cc,129,-11.16,1.24,6.67,184.76,30485.0,4.38,16.80583409298086,Low Risk
00fc707aaaad2d31347cf883cd2dfe10,103,-15.57,1.92,4.23,166.14,23592.3,3.74,20.99179580674567,Low Risk
013900e863eace745d3ec7614cab5b1a,23,-16.12,2.58,0.0,79.13,2057.3,4.73,4.714676390154963,Low Risk
0176f73cc1195f367f7b32db1e5b3aa8,36,-8.24,1.35,10.81,134.85,4989.3,4.05,26.574293527803107,Low Risk
01cf7e3d21494c41fb86034f2e714fa1,54,-13.3,1.93,5.0,161.01,9660.8,4.13,17.859617137648133,Low Risk
01fd077212124329bac32490e8ef80d9,30,-9.78,0.78,2.78,51.22,1844.0,4.25,12.051048313582498,Low Risk
01fdefa7697d26ad920e9e0346d4bd1b,127,-13.71,0.96,6.2,117.68,15180.23,4.37,15.923427529626252,Low Risk
0241d4d5d36f10f80c644447315af0bd,225,-12.59,1.21,5.53,138.55,32559.87,4.28,16.20419325432999,Low Risk
02ecc2a19303f05e59ce133fd923fff7,21,-15.04,2.92,0.0,300.36,7208.59,4.54,7.164995442114858,Low Risk
02f5837340d7eb4f653d676c7256523a,30,-17.33,1.9,3.33,129.44,3883.05,4.83,7.7338195077484055,Low Risk
02f623a8eb246f3c5f7c2f96462654e6,41,-10.2,0.34,9.76,142.46,5841.0,4.55,18.46855059252507,Low Risk
04308b1ee57b6625f47df1d56f00eedf,88,-11.52,5.44,11.36,636.89,56046.2,3.91,33.381950774840476,Low Risk
0432ead42b6c8a0bdf68154add917fdf,82,-13.46,0.9,3.45,101.76,8853.3,4.55,9.877848678213313,Low Risk
048c2757535328e0d7dac690ad3c0aae,50,-10.0,1.92,14.0,181.3,9065.08,4.24,29.772105742935278,Low Risk
0509040ea3fe50071181bbc359eb7738,87,-10.76,1.39,6.25,45.49,4366.73,4.49,15.15405651777575,Low Risk
056b4ada5bbc2c50cc7842547dda6b51,57,-13.17,1.29,10.34,187.3,10863.44,4.14,24.83865086599818,Low Risk
